detid,Unnamed: 0_x,timestamp,flow,vehicleTypeFlow,speed,vehicleTypeSpeed,occupancy_percentage,Unnamed: 0_y,type,location_desc,lat,lon
4044012,101,2023-12-05T18:00:00.000+01:00,76,anyVehicle,36.36,carOrLightVehicle,11.0,158.0,Doppelschleife,Riemer Str. Haus Nr. 274 (ca. 20m Ã¶stlich Schatzbogen),48.13976,11.669388
4045011,102,2023-12-05T18:00:00.000+01:00,38,anyVehicle,35.28,carOrLightVehicle,4.0,159.0,Doppelschleife,Am Mitterfeld gegenÃ¼ber Hs. Nr. 150,48.13975,11.678177
4046011,103,2023-12-05T18:00:00.000+01:00,58,anyVehicle,45.0,carOrLightVehicle,4.0,160.0,Doppelschleife,Riemer Str / bei SB Mast 76,48.140068,11.677234
4047011,104,2023-12-05T18:00:00.000+01:00,8,anyVehicle,45.36,carOrLightVehicle,0.0,161.0,Doppelschleife,Paul Henri Spaak Str / bei SB Mast 4,48.13913,11.690129
4047012,105,2023-12-05T18:00:00.000+01:00,19,anyVehicle,42.12,carOrLightVehicle,1.0,162.0,Doppelschleife,Paul Henri Spaak Str / bei SB Mast 4,48.139194,11.690086
4048011,106,2023-12-05T18:00:00.000+01:00,72,anyVehicle,38.16,carOrLightVehicle,6.0,163.0,Doppelschleife,Olof Palme Str / bei SB Mast 2,48.138275,11.689418
4048012,107,2023-12-05T18:00:00.000+01:00,105,anyVehicle,39.6,carOrLightVehicle,10.0,164.0,Doppelschleife,Olof Palme Str / bei SB Mast 2,48.138275,11.689418
4049011,108,2023-12-05T18:00:00.000+01:00,21,anyVehicle,43.92,carOrLightVehicle,1.0,165.0,Doppelschleife,Am HÃ¼llgraben / HÃ¶he SB Mast 26,48.138264,11.688123
4049012,109,2023-12-05T18:00:00.000+01:00,84,anyVehicle,38.16,carOrLightVehicle,9.0,166.0,Doppelschleife,Am HÃ¼llgraben / HÃ¶he SB Mast 26,48.13833,11.688101
4050011,110,2023-12-05T18:00:00.000+01:00,51,anyVehicle,41.76,carOrLightVehicle,4.0,167.0,Doppelschleife,Am HÃ¼llgraben / bei SB Mast 27,48.138542,11.688272
4050012,111,2023-12-05T18:00:00.000+01:00,42,anyVehicle,43.2,carOrLightVehicle,3.0,168.0,Doppelschleife,Am HÃ¼llgraben / bei SB Mast 27,48.138508,11.688305
4051011,112,2023-12-05T18:00:00.000+01:00,33,anyVehicle,44.28,carOrLightVehicle,2.0,169.0,Doppelschleife,Paul Henri Spaak Str / bei SB Mast 76,48.138065,11.707974
4051012,113,2023-12-05T18:00:00.000+01:00,23,anyVehicle,45.72,carOrLightVehicle,1.0,170.0,Doppelschleife,Paul Henri Spaak Str / bei SB Mast 76,48.138065,11.707974
4054011,114,2023-12-05T18:00:00.000+01:00,21,anyVehicle,51.12,carOrLightVehicle,1.0,171.0,Doppelschleife,Paul Henri Spaak Str / bei SB Mast 66,48.13832,11.705729
4054012,115,2023-12-05T18:00:00.000+01:00,6,anyVehicle,50.76,carOrLightVehicle,0.0,172.0,Doppelschleife,Paul Henri Spaak Str / bei SB Mast 66,48.138412,11.705771
4055011,116,2023-12-05T18:00:00.000+01:00,17,anyVehicle,52.56,carOrLightVehicle,1.0,173.0,Doppelschleife,Paul Henri Spaak Str / bei SB Mast 66,48.138527,11.705782
4055012,117,2023-12-05T18:00:00.000+01:00,6,anyVehicle,56.16,carOrLightVehicle,0.0,174.0,Doppelschleife,Paul Henri Spaak Str / bei SB Mast 66,48.138493,11.70575
4059011,118,2023-12-05T18:00:00.000+01:00,13,anyVehicle,41.04,carOrLightVehicle,1.0,179.0,Doppelschleife,Ottendichler Str bei SchilderbrÃ¼cke,48.13973,11.712385
4059012,119,2023-12-05T18:00:00.000+01:00,34,anyVehicle,40.68,carOrLightVehicle,3.0,180.0,Doppelschleife,Ottendichler Str bei SchilderbrÃ¼cke,48.13973,11.712385
4059013,120,2023-12-05T18:00:00.000+01:00,36,anyVehicle,36.36,carOrLightVehicle,3.0,181.0,Doppelschleife,Ottendichler Str bei SchilderbrÃ¼cke,48.13973,11.712385
4060011,121,2023-12-05T18:00:00.000+01:00,75,anyVehicle,42.12,carOrLightVehicle,7.0,182.0,Doppelschleife,Olof Palme Str / bei SB Mast 16,48.135986,11.690265
