,detid,timestamp,flow,vehicleTypeFlow,speed,vehicleTypeSpeed,occupancy_percentage
141,4081012,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
142,4083011,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
143,4087011,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
144,4087012,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
145,4088011,2024-03-07T20:05:00.000+01:00,34,anyVehicle,0,,0
146,4089011,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
147,4091011,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
148,4093011,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
149,4097011,2024-03-07T20:05:00.000+01:00,86,anyVehicle,0,,0
150,4097012,2024-03-07T20:05:00.000+01:00,257,anyVehicle,0,,0
151,4097013,2024-03-07T20:05:00.000+01:00,198,anyVehicle,0,,0
152,4097021,2024-03-07T20:05:00.000+01:00,89,anyVehicle,0,,0
153,4097022,2024-03-07T20:05:00.000+01:00,252,anyVehicle,0,,0
154,4097023,2024-03-07T20:05:00.000+01:00,194,anyVehicle,0,,0
155,4099011,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
156,4099012,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
157,4099013,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
158,4100011,2024-03-07T20:05:00.000+01:00,192,anyVehicle,0,,0
159,4100012,2024-03-07T20:05:00.000+01:00,154,anyVehicle,0,,0
160,4100021,2024-03-07T20:05:00.000+01:00,170,anyVehicle,0,,0
161,4100022,2024-03-07T20:05:00.000+01:00,195,anyVehicle,0,,0
162,4100031,2024-03-07T20:05:00.000+01:00,99,anyVehicle,0,,0
163,4100032,2024-03-07T20:05:00.000+01:00,39,anyVehicle,0,,0
164,4101011,2024-03-07T20:05:00.000+01:00,231,anyVehicle,0,,0
165,4101012,2024-03-07T20:05:00.000+01:00,179,anyVehicle,0,,0
166,4102011,2024-03-07T20:05:00.000+01:00,34,anyVehicle,0,,0
167,4102012,2024-03-07T20:05:00.000+01:00,271,anyVehicle,0,,0
168,4102013,2024-03-07T20:05:00.000+01:00,187,anyVehicle,0,,0
169,4102021,2024-03-07T20:05:00.000+01:00,306,anyVehicle,0,,0
170,4102022,2024-03-07T20:05:00.000+01:00,229,anyVehicle,0,,0
171,4103011,2024-03-07T20:05:00.000+01:00,37,anyVehicle,0,,0
172,4103012,2024-03-07T20:05:00.000+01:00,244,anyVehicle,0,,0
173,4103013,2024-03-07T20:05:00.000+01:00,215,anyVehicle,0,,0
174,4104011,2024-03-07T20:05:00.000+01:00,193,anyVehicle,0,,0
