detid,Unnamed: 0_x,timestamp,flow,vehicleTypeFlow,speed,vehicleTypeSpeed,occupancy_percentage,Unnamed: 0_y,type,location_desc,lat,lon
4054012,115,2023-12-05T17:00:00.000+01:00,11,anyVehicle,56.52,carOrLightVehicle,0.0,172.0,Doppelschleife,Paul Henri Spaak Str / bei SB Mast 66,48.138412,11.705771
4055011,116,2023-12-05T17:00:00.000+01:00,21,anyVehicle,55.44,carOrLightVehicle,1.0,173.0,Doppelschleife,Paul Henri Spaak Str / bei SB Mast 66,48.138527,11.705782
4055012,117,2023-12-05T17:00:00.000+01:00,11,anyVehicle,56.52,carOrLightVehicle,0.0,174.0,Doppelschleife,Paul Henri Spaak Str / bei SB Mast 66,48.138493,11.70575
4059011,118,2023-12-05T17:00:00.000+01:00,20,anyVehicle,45.36,carOrLightVehicle,1.0,179.0,Doppelschleife,Ottendichler Str bei SchilderbrÃ¼cke,48.13973,11.712385
4059012,119,2023-12-05T17:00:00.000+01:00,37,anyVehicle,38.88,carOrLightVehicle,3.0,180.0,Doppelschleife,Ottendichler Str bei SchilderbrÃ¼cke,48.13973,11.712385
4059013,120,2023-12-05T17:00:00.000+01:00,50,anyVehicle,37.44,carOrLightVehicle,5.0,181.0,Doppelschleife,Ottendichler Str bei SchilderbrÃ¼cke,48.13973,11.712385
4060011,121,2023-12-05T17:00:00.000+01:00,57,anyVehicle,42.12,carOrLightVehicle,6.0,182.0,Doppelschleife,Olof Palme Str / bei SB Mast 16,48.135986,11.690265
4060012,122,2023-12-05T17:00:00.000+01:00,66,anyVehicle,43.56,carOrLightVehicle,5.0,183.0,Doppelschleife,Olof Palme Str / bei SB Mast 16,48.135986,11.690265
4061011,123,2023-12-05T17:00:00.000+01:00,49,anyVehicle,34.56,carOrLightVehicle,8.0,184.0,Doppelschleife,Olof Palme Str / bei SB Mast 19,48.135017,11.690295
4061012,124,2023-12-05T17:00:00.000+01:00,163,anyVehicle,32.04,carOrLightVehicle,19.0,185.0,Doppelschleife,Olof Palme Str / bei SB Mast 19,48.13502,11.690332
4063011,125,2023-12-05T17:00:00.000+01:00,0,anyVehicle,0.0,carOrLightVehicle,0.0,188.0,Doppelschleife,Willy Brandt Allee / bei SB Mast 8,48.133415,11.692522
4063012,126,2023-12-05T17:00:00.000+01:00,132,anyVehicle,27.0,carOrLightVehicle,17.0,189.0,Doppelschleife,Willy Brandt Allee / bei SB Mast 8,48.133457,11.692511
4066011,127,2023-12-05T17:00:00.000+01:00,29,anyVehicle,48.96,carOrLightVehicle,2.0,190.0,Doppelschleife,Willy Brandt Allee / bei SB Mast 35,48.133636,11.702661
4066012,128,2023-12-05T17:00:00.000+01:00,59,anyVehicle,45.72,carOrLightVehicle,4.0,191.0,Doppelschleife,Willy Brandt Allee / bei SB Mast 35,48.133602,11.702692
4070011,129,2023-12-05T17:00:00.000+01:00,41,anyVehicle,50.04,carOrLightVehicle,3.0,192.0,Doppelschleife,De Gasperi Bogen bei Mast 37,48.134617,11.714044
