,detid,LZANR,NAME,DET_IND,DET_NAM,dtctr_t,dtctr_l,geometry,lon,lat
154,4049011,,,,,,,11.688123 48.138264,11.688123,48.138264
155,4049012,,,,,,,11.688101 48.13833,11.688101,48.13833
156,4050011,,,,,,,11.688272 48.138542,11.688272,48.138542
157,4050012,,,,,,,11.688305 48.138508,11.688305,48.138508
158,4051011,,,,,,,11.707974 48.138065,11.707974,48.138065
159,4051012,,,,,,,11.707974 48.138065,11.707974,48.138065
160,4054011,,,,,,,11.705729 48.13832,11.705729,48.13832
161,4054012,,,,,,,11.705771 48.138412,11.705771,48.138412
162,4055011,,,,,,,11.705782 48.138527,11.705782,48.138527
163,4055012,,,,,,,11.70575 48.138493,11.70575,48.138493
164,4056011,,,,,,,11.713142 48.13949,11.713142,48.13949
165,4056012,,,,,,,11.713228 48.13949,11.713228,48.13949
166,4057011,,,,,,,11.714044 48.13833,11.714044,48.13833
167,4057012,,,,,,,11.714119 48.13838,11.714119,48.13838
168,4059011,,,,,,,11.712385 48.13973,11.712385,48.13973
169,4059012,,,,,,,11.712385 48.13973,11.712385,48.13973
170,4059013,,,,,,,11.712385 48.13973,11.712385,48.13973
171,4060011,,,,,Doppelschleife,lane1,11.690265 48.135986,11.690265,48.135986
172,4060012,,,,,Doppelschleife,lane2,11.690265 48.135986,11.690265,48.135986
173,4061011,,,,,,,11.690295 48.135017,11.690295,48.135017
174,4061012,,,,,,,11.690332 48.13502,11.690332,48.13502
175,4062011,,,,,Doppelschleife,lane1,11.690596 48.133904,11.690596,48.133904
176,4062012,,,,,Doppelschleife,lane2,11.690545 48.1339,11.690545,48.1339
177,4063011,,,,,,,11.692522 48.133415,11.692522,48.133415
178,4063012,,,,,,,11.692511 48.133457,11.692511,48.133457
179,4066011,,,,,,,11.702661 48.133636,11.702661,48.133636
180,4066012,,,,,,,11.702692 48.133602,11.702692,48.133602
181,4070011,,,,,,,11.714044 48.134617,11.714044,48.134617
182,4070012,,,,,,,11.714001 48.134674,11.714001,48.134674
183,4071011,,,,,,,11.71517 48.136925,11.71517,48.136925
184,4071012,,,,,,,11.715149 48.13691,11.715149,48.13691
185,4072011,,,,,,,11.685859 48.1421,11.685859,48.1421
186,4072012,,,,,,,11.685913 48.142128,11.685913,48.142128
187,4073011,,,,,,,11.687608 48.141434,11.687608,48.141434
188,4073012,,,,,,,11.687575 48.141464,11.687575,48.141464
189,4074011,,,,,,,11.685366 48.140797,11.685366,48.140797
190,4074012,,,,,,,11.685387 48.140827,11.685387,48.140827
191,4075011,,,,,,,11.686138 48.14113,11.686138,48.14113
192,4077011,,,,,,,11.691599 48.139988,11.691599,48.139988
193,4077012,,,,,,,11.691611 48.13992,11.691611,48.13992
194,4081011,,,,,,,11.694712 48.140556,11.694712,48.140556
195,4081012,,,,,,,11.694712 48.140556,11.694712,48.140556
196,4082011,,,,,,,11.671923 48.136215,11.671923,48.136215
197,4082012,,,,,,,11.671987 48.136208,11.671987,48.136208
198,4083011,,,,,,,11.671059 48.134907,11.671059,48.134907
199,4087011,,,,,,,11.67337 48.13729,11.67337,48.13729
200,4087012,,,,,,,11.67337 48.137245,11.67337,48.137245
201,4088011,,,,,,,11.672629 48.137157,11.672629,48.137157
202,4089011,,,,,,,11.673439 48.13869,11.673439,48.13869
203,4091011,,,,,,,11.672515 48.139698,11.672515,48.139698
204,4093011,,,,,,,11.685869 48.137817,11.685869,48.137817
205,4094011,,,,,,,11.683574 48.137447,11.683574,48.137447
206,4095011,,,,,,,11.6819 48.13708,11.6819,48.13708
207,4097011,,,,,,,11.548109 48.11217,11.548109,48.11217
208,4097012,,,,,,,11.548109 48.112152,11.548109,48.112152
209,4097013,,,,,,,11.548111 48.112133,11.548111,48.112133
210,4097021,,,,,,,11.548114 48.112034,11.548114,48.112034
211,4097022,,,,,,,11.548109 48.112064,11.548109,48.112064
212,4097023,,,,,,,11.548106 48.112095,11.548106,48.112095
213,4099011,,,,,Doppelschleife,lane1,11.592404 48.142212,11.592404,48.142212
214,4099012,,,,,Doppelschleife,lane2,11.592414 48.142235,11.592414,48.142235
215,4099013,,,,,,,11.592422 48.14226,11.592422,48.14226
216,4100011,,,,,,,11.615408 48.129597,11.615408,48.129597
217,4100012,,,,,,,11.615368 48.129597,11.615368,48.129597
218,4100021,,,,,,,11.615207 48.129597,11.615207,48.129597
219,4100022,,,,,,,11.615274 48.129597,11.615274,48.129597
220,4100031,,,,,,,11.615019 48.12965,11.615019,48.12965
221,4100032,,,,,,,11.615059 48.129642,11.615059,48.129642
222,4101011,,,,,,,11.61506 48.136684,11.61506,48.136684
223,4101012,,,,,,,11.61502 48.136684,11.61502,48.136684
224,4102011,,,,,,,11.615551 48.142857,11.615551,48.142857
225,4102012,,,,,,,11.615551 48.142857,11.615551,48.142857
226,4102013,,,,,,,11.615551 48.142857,11.615551,48.142857
227,4102021,,,,,,,11.615323 48.142845,11.615323,48.142845
228,4102022,,,,,,,11.615323 48.142845,11.615323,48.142845
229,4103011,,,,,,,11.615827 48.150932,11.615827,48.150932
230,4103012,,,,,,,11.615856 48.150932,11.615856,48.150932
231,4103013,,,,,,,11.61588 48.150936,11.61588,48.150936
232,4104011,,,,,,,11.614755 48.152378,11.614755,48.152378
233,4104012,,,,,,,11.614728 48.15236,11.614728,48.15236
234,4105011,,,,,,,11.613877 48.152805,11.613877,48.152805
235,4105012,,,,,,,11.613918 48.152813,11.613918,48.152813
236,4106011,,,,,,,11.618105 48.137325,11.618105,48.137325
237,4106021,,,,,,,11.618067 48.137074,11.618067,48.137074
238,4107011,,,,,,,11.494017 48.199066,11.494017,48.199066
239,4107012,,,,,,,11.493968 48.199047,11.493968,48.199047
240,4108011,,,,,Doppelschleife,lane1,11.624235 48.195847,11.624235,48.195847
241,4108012,,,,,Doppelschleife,lane2,11.624289 48.195827,11.624289,48.195827
242,4108021,,,,,Doppelschleife,lane1,11.624742 48.196255,11.624742,48.196255
243,4108022,,,,,Doppelschleife,lane2,11.624704 48.196262,11.624704,48.196262
244,4109011,,,,,,,11.476686 48.164276,11.476686,48.164276
245,4109012,,,,,,,11.476692 48.1643,11.476692,48.1643
