,detid,type,location_desc,lat,lon
184,4061011,Doppelschleife,Olof Palme Str / bei SB Mast 19,48.135017,11.690295
185,4061012,Doppelschleife,Olof Palme Str / bei SB Mast 19,48.13502,11.690332
186,4062011,Doppelschleife,Olof Palme Str / bei SB Mast 23,48.133904,11.690596
187,4062012,Doppelschleife,Olof Palme Str / bei SB Mast 23,48.1339,11.690545
188,4063011,Doppelschleife,Willy Brandt Allee / bei SB Mast 8,48.133415,11.692522
189,4063012,Doppelschleife,Willy Brandt Allee / bei SB Mast 8,48.133457,11.692511
190,4066011,Doppelschleife,Willy Brandt Allee / bei SB Mast 35,48.133636,11.702661
191,4066012,Doppelschleife,Willy Brandt Allee / bei SB Mast 35,48.133602,11.702692
192,4070011,Doppelschleife,De Gasperi Bogen bei Mast 37,48.134617,11.714044
193,4070012,Doppelschleife,De Gasperi Bogen bei Mast 37,48.134674,11.714001
194,4071011,Doppelschleife,De Gasperi Bogen bei Mast 52,48.136925,11.71517
195,4071012,Doppelschleife,De Gasperi Bogen bei Mast 52,48.13691,11.715149
196,4072011,Doppelschleife,An der Point Richtung Stadtgrenze,48.1421,11.685859
197,4072012,Doppelschleife,An der Point Richtung Stadtgrenze,48.142128,11.685913
198,4073011,Doppelschleife,Riemer Str / bei SB Mast ?,48.141434,11.687608
199,4073012,Doppelschleife,Riemer Str / bei SB Mast ?,48.141464,11.687575
200,4074011,Doppelschleife,Riemer Str / bei SB Mast 93,48.140797,11.685366
201,4074012,Doppelschleife,Riemer Str / bei SB Mast 93,48.140827,11.685387
202,4075011,Doppelschleife,Riemer Str. / stadteinwÃ¤rts bei SB Mast 98,48.14113,11.686138
203,4077011,Doppelschleife,Paul Henri Spaak Str / bei SB Mast 11,48.139988,11.691599
204,4077012,Doppelschleife,Paul Henri Spaak Str / bei SB Mast 11,48.13992,11.691611
205,4081011,Doppelschleife,Paul Henri Spaak Str / bei SB Mast 23,48.140556,11.694712
206,4081012,Doppelschleife,Paul Henri Spaak Str / bei SB Mast 23,48.140556,11.694712
207,4082011,Doppelschleife,HollerithstraÃe FR SÃ¼d / sÃ¼dlich BAB Ausf. rechts,48.136215,11.671923
208,4082012,Doppelschleife,HollerithstraÃe FR SÃ¼d / sÃ¼dlich BAB Ausf. rechts,48.136208,11.671987
209,4083011,Doppelschleife,HollerithstraÃe / HÃ¶he SB Mast 2,48.134907,11.671059
210,4087011,Doppelschleife,Am HÃ¼llgraben / An der Mauer vor Kurve,48.13729,11.67337
211,4087012,Doppelschleife,Am HÃ¼llgraben / An der Mauer vor Kurve,48.137245,11.67337
212,4088011,Doppelschleife,Am HÃ¼llgraben in der Kurve Richtg. Messe,48.137157,11.672629
213,4089011,Doppelschleife,Riemer Str. nach Ausfahrt BAB Am Moosfeld,48.13869,11.673439
214,4091011,Doppelschleife,Riemer Str. / HS Nr. 303,48.139698,11.672515
215,4093011,Doppelschleife,Am HÃ¼llgraben / HÃ¶he SB Mast 19,48.137836,11.686181
216,4094011,Doppelschleife,Am HÃ¼llgraben / HÃ¶he SB Mast 13,48.137177,11.6820345
217,4095011,Doppelschleife,Am HÃ¼llgraben / HÃ¶he SB Mast 11,48.13747,11.684078
218,4097011,Doppelschleife,BrudermÃ¼hltunnel Richtung W - O   Block 58,48.11217,11.548109
219,4097012,Doppelschleife,BrudermÃ¼hltunnel Richtung W - O   Block 58,48.112152,11.548109
220,4097013,Doppelschleife,BrudermÃ¼hltunnel Richtung W - O   Block 58,48.112133,11.548111
221,4097021,Doppelschleife,BrudermÃ¼hltunnel Richtung O - W Block 55,48.112034,11.548114
222,4097022,Doppelschleife,BrudermÃ¼hltunnel Richtung O - W Block 55,48.112064,11.548109
223,4097023,Doppelschleife,BrudermÃ¼hltunnel Richtung O - W Block 55,48.112095,11.548106
