,detid,timestamp,flow,vehicleTypeFlow,speed,vehicleTypeSpeed,occupancy_percentage
220,4123013,2023-11-30T19:00:00.000+01:00,216,anyVehicle,51.12,carOrLightVehicle,10.0
221,4123014,2023-11-30T19:00:00.000+01:00,211,anyVehicle,49.32,carOrLightVehicle,10.0
222,4123021,2023-11-30T19:00:00.000+01:00,303,anyVehicle,24.12,carOrLightVehicle,33.0
223,4123022,2023-11-30T19:00:00.000+01:00,195,anyVehicle,19.44,carOrLightVehicle,33.0
224,4123023,2023-11-30T19:00:00.000+01:00,186,anyVehicle,11.52,carOrLightVehicle,53.0
225,4124011,2023-11-30T19:00:00.000+01:00,91,anyVehicle,49.32,carOrLightVehicle,4.0
226,4124021,2023-11-30T19:00:00.000+01:00,205,anyVehicle,48.96,carOrLightVehicle,9.0
227,4124022,2023-11-30T19:00:00.000+01:00,34,anyVehicle,54.0,carOrLightVehicle,0.0
228,4124031,2023-11-30T19:00:00.000+01:00,212,anyVehicle,44.64,carOrLightVehicle,11.0
229,4125011,2023-11-30T19:00:00.000+01:00,104,anyVehicle,37.44,carOrLightVehicle,6.0
230,4125021,2023-11-30T19:00:00.000+01:00,209,anyVehicle,35.28,carOrLightVehicle,14.0
231,4125031,2023-11-30T19:00:00.000+01:00,326,anyVehicle,45.0,carOrLightVehicle,17.0
232,4126011,2023-11-30T19:00:00.000+01:00,186,anyVehicle,37.8,carOrLightVehicle,14.0
233,4126012,2023-11-30T19:00:00.000+01:00,123,anyVehicle,38.16,carOrLightVehicle,12.0
234,4126021,2023-11-30T19:00:00.000+01:00,223,anyVehicle,50.04,carOrLightVehicle,11.0
235,4126022,2023-11-30T19:00:00.000+01:00,227,anyVehicle,54.36,carOrLightVehicle,10.0
236,4126031,2023-11-30T19:00:00.000+01:00,172,anyVehicle,31.68,carOrLightVehicle,13.0
237,4127011,2023-11-30T19:00:00.000+01:00,24,anyVehicle,27.0,carOrLightVehicle,1.0
238,4127021,2023-11-30T19:00:00.000+01:00,365,anyVehicle,38.16,carOrLightVehicle,22.0
239,4127022,2023-11-30T19:00:00.000+01:00,340,anyVehicle,43.56,carOrLightVehicle,18.0
240,4127031,2023-11-30T19:00:00.000+01:00,283,anyVehicle,24.48,carOrLightVehicle,30.0
241,4127032,2023-11-30T19:00:00.000+01:00,335,anyVehicle,24.48,carOrLightVehicle,35.0
242,4127041,2023-11-30T19:00:00.000+01:00,33,anyVehicle,47.16,carOrLightVehicle,1.0
243,4128011,2023-11-30T19:00:00.000+01:00,140,anyVehicle,37.08,carOrLightVehicle,8.0
244,4128021,2023-11-30T19:00:00.000+01:00,136,anyVehicle,38.88,carOrLightVehicle,8.0
245,4129011,2023-11-30T19:00:00.000+01:00,93,anyVehicle,33.84,carOrLightVehicle,6.0
246,4129012,2023-11-30T19:00:00.000+01:00,121,anyVehicle,34.92,carOrLightVehicle,7.0
247,4129021,2023-11-30T19:00:00.000+01:00,78,anyVehicle,37.08,carOrLightVehicle,5.0
248,4129022,2023-11-30T19:00:00.000+01:00,99,anyVehicle,42.12,carOrLightVehicle,5.0
249,4130011,2023-11-30T19:00:00.000+01:00,128,anyVehicle,42.12,carOrLightVehicle,6.0
250,4130021,2023-11-30T19:00:00.000+01:00,91,anyVehicle,44.64,carOrLightVehicle,5.0
